Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK
363,Ange-Yoan Bonny,fr FRA,FW,Parma,it Serie A,20,2003,37,30,2529,28.1,6,4,10,4,2,3,2,0,9.4,7.1,2.9,9.9,41,53,163,0.28,0.44,61,19,31.1,2.17,0.68,0.07,0.21,16.7,0
364,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,25,1999,15,8,788,8.8,2,1,3,2,0,0,2,0,1.2,1.2,0.5,1.7,3,21,1,0.34,0.2,8,3,37.5,0.91,0.34,0.25,0.67,7.6,0
365,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,24,2000,8,6,412,4.6,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.1,0,7,0,0,0.24,5,2,40,1.09,0.44,0,0,7.1,0
367,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,16,2007,24,11,1151,12.8,0,1,1,0,0,0,2,0,0.1,0.1,1,1.1,11,37,26,0.08,0.08,3,1,33.3,0.23,0.08,0,0,19.3,0
368,Badredine Bouanani,dz ALG,"MF,FW",Nice,fr Ligue 1,19,2004,26,11,1099,12.2,3,3,6,2,1,1,2,0,2.7,1.9,2.4,4.3,47,44,93,0.41,0.42,30,14,46.7,2.46,1.15,0.07,0.14,20.3,1
369,Benjamin Bouchouari,ma MAR,MF,Saint-Atienne,fr Ligue 1,22,2001,25,20,1772,19.7,1,0,1,1,0,0,6,0,0.6,0.6,0.9,1.5,48,133,54,0.05,0.08,16,3,18.8,0.81,0.15,0.06,0.33,23.6,0
370,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,24,1999,29,27,2435,27.1,2,3,5,2,0,0,9,0,2.7,2.7,3,5.8,54,124,75,0.18,0.21,39,18,46.2,1.44,0.67,0.05,0.11,19.1,0
371,Carlo Boukhalfa,ma MAR,MF,St Pauli,de Bundesliga,25,1999,25,19,1646,18.3,2,0,2,2,0,0,1,0,1.5,1.5,1.1,2.6,10,41,44,0.11,0.14,21,4,19,1.15,0.22,0.1,0.5,16.6,0
372,Justin Bourgault,fr FRA,DF,Brest,fr Ligue 1,18,2005,2,2,122,1.4,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,4,12,0.74,0.15,2,1,50,1.48,0.74,0.5,1,26.2,0
373,Benjamin Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,30,1994,1,1,80,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,0,4,4,1.13,0.17,2,1,50,2.25,1.13,0.5,1,16.1,1
374,Edoardo Bove,it ITA,"MF,FW",Fiorentina,it Serie A,22,2002,11,10,836,9.3,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,12,37,24,0.32,0.22,7,2,28.6,0.75,0.22,0.14,0.5,14.6,0
375,Jarrod Bowen,eng ENG,"FW,MF",West Ham,eng Premier League,27,1996,34,34,2973,33,13,8,21,12,1,1,1,0,8.6,7.8,6.8,14.7,109,91,212,0.61,0.47,86,36,41.9,2.6,1.09,0.14,0.33,17.4,1
376,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,22,2001,34,33,2987,33.2,2,0,2,2,0,0,5,0,1.5,1.5,0.9,2.4,16,111,7,0.06,0.07,12,3,25,0.36,0.09,0.17,0.67,12.4,0
378,Domagoj BradariA,hr CRO,DF,Hellas Verona,it Serie A,24,1999,28,24,1933,21.5,1,0,1,1,0,0,6,0,0.8,0.8,2.2,3,30,46,83,0.05,0.14,9,4,44.4,0.42,0.19,0.11,0.25,19.6,0
379,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,21,2003,19,7,754,8.4,0,2,2,0,0,0,4,0,0.7,0.7,1.4,2.1,35,33,39,0.24,0.25,10,3,30,1.19,0.36,0,0,14.2,0
380,Bilal Brahimi,dz ALG,MF,Nice,fr Ligue 1,24,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0.1,3,4,10,0,0.07,1,1,100,1.18,1.18,0,0,23,1
381,Julian Brandt,de GER,MF,Dortmund,de Bundesliga,28,1996,30,28,2303,25.6,5,10,15,5,0,0,1,0,4.8,4.8,8.5,13.2,61,149,199,0.59,0.52,45,15,33.3,1.76,0.59,0.11,0.33,18.5,6
382,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,22,2002,30,28,2511,27.9,0,1,1,0,0,0,4,0,1.2,1.2,0.7,1.9,10,66,2,0.04,0.07,10,3,30,0.36,0.11,0,0,8.2,0
383,Darko BraAanac,rs SRB,MF,Leganes,es La Liga,32,1992,30,15,1617,18,1,2,3,1,0,0,4,0,1.8,1.8,0.4,2.2,6,43,53,0.17,0.12,12,3,25,0.67,0.17,0.08,0.33,13.1,0
385,Lilian Brassier,fr FRA,DF,Rennes,fr Ligue 1,24,1999,14,14,1234,13.7,1,1,2,1,0,0,1,0,1.5,1.5,0.3,1.8,21,75,11,0.15,0.13,14,1,7.1,1.02,0.07,0.07,1,12.6,0
387,Iker Bravo,es ESP,"FW,MF",Udinese,it Serie A,19,2005,29,4,682,7.6,2,1,3,2,0,0,3,0,0.9,0.9,0.4,1.3,7,18,39,0.4,0.18,13,3,23.1,1.72,0.4,0.15,0.67,17.2,0
388,James Bree,eng ENG,DF,Southampton,eng Premier League,26,1997,17,13,1075,11.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1,13,34,43,0.08,0.08,4,1,25,0.33,0.08,0,0,22.7,0
391,Brenner,br BRA,"MF,FW",Udinese,it Serie A,24,2000,9,5,386,4.3,1,2,3,1,0,0,0,0,0.6,0.6,0.5,1.1,5,7,16,0.7,0.26,7,4,57.1,1.63,0.93,0.14,0.25,19.8,0
392,Ben Brereton,cl CHI,FW,Southampton,eng Premier League,25,1999,10,4,449,5,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1,12,9,42,0,0.2,11,1,9.1,2.2,0.2,0,0,17.3,0
393,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,24,2000,29,9,991,11,4,2,6,4,0,0,1,0,3.1,3.1,1,4.1,46,36,69,0.54,0.37,20,8,40,1.82,0.73,0.2,0.5,13.4,0
394,Maximilian Breunig,de GER,"FW,MF",Heidenheim,de Bundesliga,23,2000,13,2,350,3.9,2,0,2,1,1,1,0,0,3.4,2.7,0.2,2.9,5,7,13,0.26,0.94,10,2,20,2.57,0.51,0.1,0.5,15.2,0
396,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,eng Premier League,26,1998,18,7,702,7.8,2,0,2,2,0,0,1,0,1.7,1.7,0.7,2.4,20,14,33,0.26,0.31,13,8,61.5,1.67,1.03,0.15,0.25,15.8,0
398,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,27,1997,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,1.9,4.4,35,35,83,0.19,0.41,25,12,48,2.34,1.13,0.08,0.17,16.3,0
400,Moritz Broschinski,de GER,"FW,MF",Bochum,de Bundesliga,23,2000,33,15,1390,15.4,1,3,4,1,0,0,1,0,4.2,4.2,1.8,6,37,20,130,0.26,0.39,38,11,28.9,2.46,0.71,0.03,0.09,17.1,0
401,Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2003,26,22,1947,21.6,3,6,9,3,0,0,2,0,2.2,2.2,5.1,7.3,45,63,119,0.42,0.34,13,5,38.5,0.6,0.23,0.23,0.6,15.4,0
402,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,25,1998,12,3,400,4.4,2,2,4,2,0,0,0,0,2.3,2.3,0.6,2.9,16,16,41,0.9,0.66,14,6,42.9,3.15,1.35,0.14,0.33,15.2,0
405,Tajon Buchanan,ca CAN,MF,Villarreal,es La Liga,25,1999,13,4,416,4.6,1,2,3,1,0,0,2,0,0.9,0.9,0.5,1.4,19,5,45,0.65,0.31,7,2,28.6,1.51,0.43,0.14,0.5,18.6,0
406,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,33,1991,38,34,2952,32.8,21,4,25,13,8,8,4,0,18.3,12.3,1.7,13.9,23,24,134,0.52,0.61,91,29,31.9,2.77,0.88,0.14,0.45,13.3,0
408,Emi BuendAa,ar ARG,MF,Leverkusen,de Bundesliga,27,1996,11,3,257,2.9,2,0,2,2,0,0,0,0,0.9,0.9,0.9,1.8,2,14,24,0.7,0.61,7,4,57.1,2.45,1.4,0.29,0.5,16,0
409,Manu Bueno,es ESP,"MF,FW",Sevilla,es La Liga,20,2004,9,1,140,1.6,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,2,5,5,0.64,0.08,4,1,25,2.57,0.64,0.25,1,26.8,0
410,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,25,1998,29,18,1687,18.7,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,1,28,1,0,0.02,6,3,50,0.32,0.16,0,0,14,0
412,Marius BA14lter,de GER,"FW,DF",Hoffenheim,de Bundesliga,31,1993,25,22,1729,19.2,7,2,9,7,0,0,4,0,3.7,3.7,3.1,6.8,57,35,155,0.47,0.35,37,15,40.5,1.93,0.78,0.19,0.47,16.2,0
413,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,eng Premier League,19,2004,31,14,1523,16.9,5,2,7,5,0,0,8,0,3.9,3.9,3.1,7,39,54,74,0.41,0.41,36,12,33.3,2.13,0.71,0.14,0.42,17.6,0
414,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,25,1999,22,22,1924,21.4,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,27,82,8,0.05,0.07,8,4,50,0.37,0.19,0.13,0.25,11,0
415,Cameron Burgess,au AUS,DF,Ipswich Town,eng Premier League,28,1995,18,16,1541,17.1,0,2,2,0,0,0,0,0,1.1,1.1,0.5,1.6,2,42,4,0.12,0.09,10,2,20,0.58,0.12,0,0,9.6,0
416,Jonathan Burkardt,de GER,FW,Mainz 05,de Bundesliga,24,2000,29,28,2109,23.4,18,2,20,16,2,2,0,0,14.8,13.2,3.1,16.3,32,42,157,0.77,0.76,70,28,40,2.99,1.19,0.23,0.57,13.6,0
417,Oliver Burke,sct SCO,FW,Werder Bremen,de Bundesliga,27,1997,25,9,908,10.1,5,0,5,5,0,0,4,0,4.1,4.1,1.7,5.8,22,15,88,0.5,0.57,35,12,34.3,3.47,1.19,0.14,0.42,13.4,0
418,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,32,1992,37,37,3330,37,1,1,2,1,0,0,11,0,2,2,0.9,2.8,12,75,14,0.05,0.08,23,7,30.4,0.62,0.19,0.04,0.14,9.7,0
420,Wes Burns,wls WAL,"FW,DF",Ipswich Town,eng Premier League,29,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.1,0.21,7,1,14.3,0.68,0.1,0,0,18.3,0
421,Marnon Busch,de GER,"DF,MF",Heidenheim,de Bundesliga,29,1994,23,15,1396,15.5,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.5,22,63,43,0.06,0.1,13,3,23.1,0.84,0.19,0,0,26.8,1
422,Gianluca Busio,us USA,MF,Venezia,it Serie A,22,2002,33,28,2518,28,2,0,2,2,0,0,4,0,2.4,2.4,1.6,4,60,95,135,0.07,0.14,36,7,19.4,1.29,0.25,0.06,0.29,17.7,0
423,AurAlio Buta,pt POR,DF,Reims,fr Ligue 1,27,1997,27,24,1970,21.9,0,1,1,0,0,0,5,0,0.3,0.3,0.8,1.1,28,83,64,0.05,0.05,8,1,12.5,0.37,0.05,0,0,21.1,0
425,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,eng Premier League,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0.94,1,1,100,12.86,12.86,0,0,15.6,0
427,Pau Cabanes,es ESP,"MF,FW",Villarreal,es La Liga,19,2005,10,0,163,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,10,11,33,0.55,0.47,4,2,50,2.21,1.1,0.25,0.5,14.2,0
429,RAmy Cabella,fr FRA,"FW,MF",Lille,fr Ligue 1,34,1990,23,12,1011,11.2,1,2,3,1,0,0,1,0,4,4,2.3,6.2,45,77,130,0.27,0.55,30,7,23.3,2.67,0.62,0.03,0.14,14.7,1
